Categorie;Veldnaam;Veldnaam_gebruiker;bench_aggr-color;bench_aggr-x;bench_aggr-y;compare_aggr-color;compare_aggr-x;compare_aggr-y_links;compare_aggr-y_rechts;opmerking
Basis;INS_Faculteit;Faculteit;1;1;;1;1;;;
Basis;INS_Inschrijvingsjaar_EOI;Cohort;1;1;;1;1;;;
Basis;INS_Opleidingsnaam_2002;Opleidingsnaam;1;1;;1;1;;;
Basis;INS_Opleiding_CROHO_onderdeel;CROHO Sector;1;1;;1;1;;;
Basis;INS_Opleiding_cluster;Cluster;1;1;;1;1;;;
Basis;OPL_CBS_Label_rubriek;ISCED-F Rubriek;1;1;;1;1;;;
Basis;OPL_CBS_Label_richting;ISCED-F Richting;1;1;;1;1;;;
Resultaten;RES_Aantal_EC_tm_jaar_1;Aantal EC jaar 1;;;4;;;4;4;
Resultaten;RES_Aantal_EC_tm_voltooid;Aantal EC studie;;;4;;;4;4;
Resultaten;RES_Gem_resultaat_tm_jaar_1;Gem. resultaat jaar 1;;;4;;;4;4;
Resultaten;RES_Gem_resultaat_tm_voltooid;Gem. resultaat studie;;;4;;;4;4;
Resultaten;RES_Gem_resultaat_geboekt_tm_P7;Gem. resultaat in studiejaar;;;4;;;4;4;
Diploma / Uitval;SUC_Diploma_binnen_1_jaar;Diploma binnen 1 jaar;;;3;;;3;3;
Diploma / Uitval;SUC_Diploma_binnen_2_jaar;Diploma binnen 2 jaar;;;3;;;3;3;
Diploma / Uitval;SUC_Diploma_binnen_3_jaar;Diploma binnen 3 jaar;;;3;;;3;3;
Diploma / Uitval;SUC_Uitval_tm_jaar_1;Uitval jaar 1;;;3;;;3;3;
Diploma / Uitval;SUC_Uitval_tm_jaar_2;Uitval tm jaar 2;;;3;;;3;3;
Arbeidsmarkt - 1 jaar;ARB_Gemiddeld_uurloon_na_1_jaar;Gem. uurloon na 1 jaar;;;1;;;1;2;
Arbeidsmarkt - 1 jaar;ARB_Gemiddeld_fte_na_1_jaar;FTE na 1 jaar;;;1;;;1;1;
Arbeidsmarkt - 1 jaar;ARB_Gemiddeld_vastcontract_na_1_jaar;Vast contract na 1 jaar;;;1;;;1;1;
Arbeidsmarkt - 1 jaar;ARB_Mediaan_uurloon_na_1_jaar;Mediaan uurloon na 1 jaar;;;1;;;1;1;
Arbeidsmarkt - 1 jaar;ARB_Mediaan_fte_na_1_jaar;;;;;;;;;
Arbeidsmarkt - 5 jaar;ARB_Gemiddeld_uurloon_na_5_jaar;Gem. uurloon na 5 jaar;;;2;;;2;3;
Arbeidsmarkt - 5 jaar;ARB_Gemiddeld_fte_na_5_jaar;FTE na 5 jaar;;;2;;;2;3;
Arbeidsmarkt - 5 jaar;ARB_Gemiddeld_vastcontract_na_5_jaar;Vast contract na 5 jaar;;;2;;;2;3;
Arbeidsmarkt - 5 jaar;ARB_Mediaan_uurloon_na_5_jaar;Mediaan uurloon na 5 jaar;;;2;;;2;3;
Arbeidsmarkt - 5 jaar;ARB_Mediaan_fte_na_5_jaar;;;;;;;;;
;;;;;;;;;;
Niet geschikt als variabele voor x, y of kleur;INS_Splits_variabele_waarde;;;;;;;;;
Niet geschikt als variabele voor x, y of kleur;INS_Splits_variabele;;;;;;;;;
Voor berekening gewogen gemiddeldes;INS_Aantal_eerstejaars;;;;;;;;;
Ter controle;INS_Aantal_eerstejaars_CHO;;;;;;;;;
Altijd master fase in huidige export;ARB_Opleiding_fase;;;;;;;;;
Altijd hetzelfde in huidige export;ARB_Regio;;;;;;;;;
;;;;;;;;;;
Ter controle;ARB_Aantal_uurloon_na_1_jaar;;;;;;;;;
Ter controle;ARB_Aantal_fte_na_1_jaar;;;;;;;;;
Ter controle;ARB_Aantal_vastcontract_na_1_jaar;;;;;;;;;
Ter controle;ARB_Aantal_uurloon_na_5_jaar;;;;;;;;;
Ter controle;ARB_Aantal_fte_na_5_jaar;;;;;;;;;
Ter controle;ARB_Aantal_vastcontract_na_5_jaar;;;;;;;;;
;;;;;;;;;;
;;;;;;;;;;
Zelfde als andere var;INS_Opleidingsnaam_2002_instroom;;;;;;;;;
Zelfde als andere var;INS_Opleidingscode_actueel;;;;;;;;;
Zelfde als andere character-var;OPL_CBS_Label_croho;;;;;;;;;
Zelfde als andere character-var;OPL_CBS_Richting_code;;;;;;;;;
Zelfde als andere character-var;OPL_CBS_Rubriek_code;;;;;;;;;
Var vooral relevant voor huidig jaar;RES_Aantal_EC_tm_nu;;;;;;;;;
Var vooral relevant voor huidig jaar;RES_Gem_resultaat_tm_nu;;;;;;;;;
Niet relevant;SUC_Diploma_binnen_4_jaar;;;;;;;;;
Niet relevant voor master (wat huidige export is);SUC_Diploma_nominaal_plus1_jaar_2;;;;;;;;;
;;;;;;;;;;
Waardes;"DEM_Geslacht;INS_Splits_variabele";Geslacht;;;;;;;;
Waardes;"DEM_Nationaliteit_EER_naam;INS_Splits_variabele";Herkomst;;;;;;;;
Waardes;"DEM_Nationaliteit_niet_NL;INS_Splits_variabele";Herkomst;;;;;;;;
Waardes;"INS_Hoogste_vooropleiding_soort_cat;INS_Splits_variabele";Vooropleiding;;;;;;;;
Waardes;"INS_Inschrijvingsvorm;INS_Splits_variabele";Inschrijvingsvorm;;;;;;;;
